Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Rec,Matches
145,Jesús Areso,es ESP,DF,Athletic Club,es La Liga,26,1999,16.7,,,,,,,,,,,,,,,,,,,,,Matches
146,Jeremy Arévalo,ec ECU,FW,Stuttgart,de Bundesliga,20,2005,0.4,,,,,,,,,,,,,,,,,,,,,Matches
147,Paul Argney,fr FRA,GK,Le Havre,fr Ligue 1,19,2006,1.0,,,,,,,,,,,,,,,,,,,,,Matches
148,Iñigo Arguibide,es ESP,DF,Osasuna,es La Liga,20,2005,2.1,,,,,,,,,,,,,,,,,,,,,Matches
149,Jhon Arias,co COL,"FW,MF",Wolves,eng Premier League,27,1997,12.5,,,,,,,,,,,,,,,,,,,,,Matches
150,Juan Arizala,co COL,MF,Udinese,it Serie A,19,2005,2.1,,,,,,,,,,,,,,,,,,,,,Matches
151,Adam Armstrong,eng ENG,"FW,MF",Wolves,eng Premier League,28,1997,12.7,,,,,,,,,,,,,,,,,,,,,Matches
152,Harrison Armstrong,eng ENG,MF,Everton,eng Premier League,18,2007,5.9,,,,,,,,,,,,,,,,,,,,,Matches
153,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,31,1994,20.7,,,,,,,,,,,,,,,,,,,,,Matches
154,Tolu Arokodare,ng NGA,FW,Wolves,eng Premier League,24,2000,15.8,,,,,,,,,,,,,,,,,,,,,Matches
155,Love Arrhov,se SWE,MF,Frankfurt,de Bundesliga,17,2008,0.7,,,,,,,,,,,,,,,,,,,,,Matches
156,Kervin Arriaga,hn HON,MF,Levante,es La Liga,27,1998,17.0,,,,,,,,,,,,,,,,,,,,,Matches
157,Kepa Arrizabalaga,es ESP,GK,Arsenal,eng Premier League,30,1994,1.0,,,,,,,,,,,,,,,,,,,,,Matches
158,Arthur,br BRA,MF,Leverkusen,de Bundesliga,22,2003,12.6,,,,,,,,,,,,,,,,,,,,,Matches
159,Takuma Asano,jp JPN,"MF,FW",Mallorca,es La Liga,30,1994,7.4,,,,,,,,,,,,,,,,,,,,,Matches
160,Raúl Asencio,es ESP,DF,Real Madrid,es La Liga,22,2003,19.0,,,,,,,,,,,,,,,,,,,,,Matches
161,Fisnik Asllani,xk KVX,"FW,MF",Hoffenheim,de Bundesliga,22,2002,25.9,,,,,,,,,,,,,,,,,,,,,Matches
162,Kristjan Asllani,al ALB,MF,Torino,it Serie A,23,2002,12.5,,,,,,,,,,,,,,,,,,,,,Matches
163,Joel Asoro,se SWE,FW,Metz,fr Ligue 1,26,1999,2.5,,,,,,,,,,,,,,,,,,,,,Matches
164,Iago Aspas,es ESP,"FW,MF",Celta Vigo,es La Liga,37,1987,12.7,,,,,,,,,,,,,,,,,,,,,Matches
165,Yaser Asprilla,co COL,"FW,MF",Girona,es La Liga,21,2003,6.8,,,,,,,,,,,,,,,,,,,,,Matches
166,Lorenz Assignon,tg TOG,"DF,MF",Stuttgart,de Bundesliga,25,2000,12.2,,,,,,,,,,,,,,,,,,,,,Matches
167,Dehmaine Assoumani,fr FRA,MF,Nantes,fr Ligue 1,20,2005,14.2,,,,,,,,,,,,,,,,,,,,,Matches
168,Lander Astiazaran,es ESP,MF,Real Sociedad,es La Liga,19,2006,0.0,,,,,,,,,,,,,,,,,,,,,Matches
169,Otavio Ataide,br BRA,DF,Paris FC,fr Ligue 1,23,2002,21.1,,,,,,,,,,,,,,,,,,,,,Matches
170,Zachary Athekame,ch SUI,"MF,DF",Milan,it Serie A,20,2004,9.3,,,,,,,,,,,,,,,,,,,,,Matches
171,Arthur Atta,fr FRA,MF,Udinese,it Serie A,22,2003,28.4,,,,,,,,,,,,,,,,,,,,,Matches
172,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,23,2002,34.0,,,,,,,,,,,,,,,,,,,,,Matches
173,Pierre-Emerick Aubameyang,ga GAB,FW,Marseille,fr Ligue 1,36,1989,22.7,,,,,,,,,,,,,,,,,,,,,Matches
174,Emil Audero,id IDN,GK,Cremonese,it Serie A,28,1997,34.0,,,,,,,,,,,,,,,,,,,,,Matches
175,Carlos Augusto,br BRA,"MF,DF",Inter,it Serie A,26,1999,19.6,,,,,,,,,,,,,,,,,,,,,Matches
176,Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,24,2000,21.4,,,,,,,,,,,,,,,,,,,,,Matches
177,Leon Avdullahu,xk KVX,MF,Hoffenheim,de Bundesliga,21,2004,31.5,,,,,,,,,,,,,,,,,,,,,Matches
178,Ezequiel Ávila,ar ARG,FW,Real Betis,es La Liga,31,1994,4.2,,,,,,,,,,,,,,,,,,,,,Matches
179,Arthur Avom,cm CMR,MF,Lorient,fr Ligue 1,20,2004,23.5,,,,,,,,,,,,,,,,,,,,,Matches
180,Chidozie Awaziem,ng NGA,DF,Nantes,fr Ligue 1,28,1997,24.8,,,,,,,,,,,,,,,,,,,,,Matches
181,Taiwo Awoniyi,ng NGA,FW,Nottingham,eng Premier League,27,1997,5.5,,,,,,,,,,,,,,,,,,,,,Matches
182,Yasin Ayari,se SWE,MF,Brighton,eng Premier League,21,2003,21.4,,,,,,,,,,,,,,,,,,,,,Matches
183,Neil El Aynaoui,ma MAR,MF,Roma,it Serie A,24,2001,11.1,,,,,,,,,,,,,,,,,,,,,Matches
184,Ilyas Azizi,fr FRA,FW,Toulouse,fr Ligue 1,17,2008,0.3,,,,,,,,,,,,,,,,,,,,,Matches
185,César Azpilicueta,es ESP,DF,Sevilla,es La Liga,35,1989,13.5,,,,,,,,,,,,,,,,,,,,,Matches
186,Oussama El Azzouzi,ma MAR,"MF,DF",Auxerre,fr Ligue 1,24,2001,9.0,,,,,,,,,,,,,,,,,,,,,Matches
187,Mio Backhaus,de GER,GK,Werder Bremen,de Bundesliga,21,2004,32.0,,,,,,,,,,,,,,,,,,,,,Matches
188,Loïc Bade,fr FRA,DF,Leverkusen,de Bundesliga,25,2000,18.4,,,,,,,,,,,,,,,,,,,,,Matches
189,Benoît Badiashile,fr FRA,DF,Chelsea,eng Premier League,24,2001,5.2,,,,,,,,,,,,,,,,,,,,,Matches
190,Álex Baena,es ESP,"MF,FW",Atlético Madrid,es La Liga,24,2001,17.3,,,,,,,,,,,,,,,,,,,,,Matches
191,Samson Baidoo,at AUT,DF,Lens,fr Ligue 1,21,2004,20.3,,,,,,,,,,,,,,,,,,,,,Matches
192,Leon Bailey,jm JAM,MF,Aston Villa,eng Premier League,27,1997,5.1,,,,,,,,,,,,,,,,,,,,,Matches
193,Leon Bailey,jm JAM,FW,Roma,it Serie A,27,1997,2.1,,,,,,,,,,,,,,,,,,,,,Matches
194,Eric Bailly,ci CIV,DF,Oviedo,es La Liga,31,1994,13.7,,,,,,,,,,,,,,,,,,,,,Matches
195,Theo Bair,ca CAN,FW,Auxerre,fr Ligue 1,25,1999,0.1,,,,,,,,,,,,,,,,,,,,,Matches
196,Cédric Bakambu,cd COD,FW,Real Betis,es La Liga,34,1991,6.3,,,,,,,,,,,,,,,,,,,,,Matches
197,Johan Bakayoko,be BEL,"FW,MF",RB Leipzig,de Bundesliga,22,2003,8.6,,,,,,,,,,,,,,,,,,,,,Matches
198,Mitchel Bakker,nl NED,"DF,MF",Atalanta,it Serie A,25,2000,0.1,,,,,,,,,,,,,,,,,,,,,Matches
199,Darryl Bakola,fr FRA,MF,Marseille,fr Ligue 1,17,2007,0.8,,,,,,,,,,,,,,,,,,,,,Matches
200,Darryl Bakola,fr FRA,MF,Sassuolo,it Serie A,17,2007,1.4,,,,,,,,,,,,,,,,,,,,,Matches
201,Ridle Baku,de GER,DF,RB Leipzig,de Bundesliga,27,1998,27.8,,,,,,,,,,,,,,,,,,,,,Matches
202,Dilane Bakwa,fr FRA,"FW,MF",Strasbourg,fr Ligue 1,22,2002,1.2,,,,,,,,,,,,,,,,,,,,,Matches
203,Dilane Bakwa,fr FRA,MF,Nottingham,eng Premier League,22,2002,6.1,,,,,,,,,,,,,,,,,,,,,Matches
204,Luís Balbo,ve VEN,DF,Fiorentina,it Serie A,19,2006,2.4,,,,,,,,,,,,,,,,,,,,,Matches
205,Tommaso Baldanzi,it ITA,MF,Genoa,it Serie A,22,2003,4.4,,,,,,,,,,,,,,,,,,,,,Matches
206,Tommaso Baldanzi,it ITA,"FW,MF",Roma,it Serie A,22,2003,4.3,,,,,,,,,,,,,,,,,,,,,Matches
207,Alejandro Balde,es ESP,DF,Barcelona,es La Liga,21,2003,20.8,,,,,,,,,,,,,,,,,,,,,Matches
208,Fabio Baldé,pt POR,"FW,MF",Hamburger SV,de Bundesliga,20,2005,5.0,,,,,,,,,,,,,,,,,,,,,Matches
209,Carlos Baleba,cm CMR,MF,Brighton,eng Premier League,21,2004,18.4,,,,,,,,,,,,,,,,,,,,,Matches
210,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,26,1999,22.2,,,,,,,,,,,,,,,,,,,,,Matches
211,Daniel Ballard,nir NIR,DF,Sunderland,eng Premier League,25,1999,23.9,,,,,,,,,,,,,,,,,,,,,Matches
212,Carlos Ballestero,es ESP,DF,Alavés,es La Liga,21,2004,0.0,,,,,,,,,,,,,,,,,,,,,Matches
213,Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,33,1992,6.5,,,,,,,,,,,,,,,,,,,,,Matches
214,Fodé Ballo-Touré,sn SEN,"DF,MF",Metz,fr Ligue 1,28,1997,9.3,,,,,,,,,,,,,,,,,,,,,Matches
215,Folarin Balogun,us USA,FW,Monaco,fr Ligue 1,24,2001,24.8,,,,,,,,,,,,,,,,,,,,,Matches
216,Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,35,1990,2.8,,,,,,,,,,,,,,,,,,,,,Matches
217,Aladji Bamba,fr FRA,MF,Monaco,fr Ligue 1,19,2006,9.1,,,,,,,,,,,,,,,,,,,,,Matches
218,Mohamed Bamba,ci CIV,FW,Lorient,fr Ligue 1,23,2001,7.6,,,,,,,,,,,,,,,,,,,,,Matches
219,Lameck Banda,zm ZAM,"MF,FW",Lecce,it Serie A,24,2001,19.5,,,,,,,,,,,,,,,,,,,,,Matches
220,Noahkai Banks,us USA,DF,Augsburg,de Bundesliga,18,2006,19.2,,,,,,,,,,,,,,,,,,,,,Matches
221,Ezechiel Banzuzi,nl NED,MF,RB Leipzig,de Bundesliga,20,2005,6.6,,,,,,,,,,,,,,,,,,,,,Matches
222,Tommaso Barbieri,it ITA,MF,Cremonese,it Serie A,22,2002,19.0,,,,,,,,,,,,,,,,,,,,,Matches
223,Valentín Barco,ar ARG,MF,Strasbourg,fr Ligue 1,21,2004,24.1,,,,,,,,,,,,,,,,,,,,,Matches
224,Bradley Barcola,fr FRA,FW,PSG,fr Ligue 1,22,2002,19.4,,,,,,,,,,,,,,,,,,,,,Matches
225,Melvin Bard,fr FRA,"DF,MF",Nice,fr Ligue 1,24,2000,26.6,,,,,,,,,,,,,,,,,,,,,Matches
226,Roony Bardghji,se SWE,"MF,FW",Barcelona,es La Liga,19,2005,7.2,,,,,,,,,,,,,,,,,,,,,Matches
227,Nicolò Barella,it ITA,MF,Inter,it Serie A,28,1997,28.0,,,,,,,,,,,,,,,,,,,,,Matches
228,Kike Barja,es ESP,MF,Osasuna,es La Liga,28,1997,5.0,,,,,,,,,,,,,,,,,,,,,Matches
229,Ross Barkley,eng ENG,MF,Aston Villa,eng Premier League,31,1993,9.5,,,,,,,,,,,,,,,,,,,,,Matches
230,Ashley Barnes,eng ENG,"FW,MF",Burnley,eng Premier League,35,1989,0.5,,,,,,,,,,,,,,,,,,,,,Matches
231,Harvey Barnes,eng ENG,"FW,MF",Newcastle,eng Premier League,27,1997,21.8,,,,,,,,,,,,,,,,,,,,,Matches
232,Ander Barrenetxea,es ESP,MF,Real Sociedad,es La Liga,23,2001,19.6,,,,,,,,,,,,,,,,,,,,,Matches
233,Pablo Barrios,es ESP,MF,Atlético Madrid,es La Liga,22,2003,18.5,,,,,,,,,,,,,,,,,,,,,Matches
234,Thierno Barry,fr FRA,FW,Everton,eng Premier League,22,2002,21.3,,,,,,,,,,,,,,,,,,,,,Matches
235,Davide Bartesaghi,it ITA,"MF,DF",Milan,it Serie A,19,2005,27.1,,,,,,,,,,,,,,,,,,,,,Matches
236,Marc Bartra,es ESP,DF,Real Betis,es La Liga,34,1991,22.0,,,,,,,,,,,,,,,,,,,,,Matches
237,Federico Baschirotto,it ITA,DF,Cremonese,it Serie A,28,1996,28.2,,,,,,,,,,,,,,,,,,,,,Matches
238,Toma Bašić,hr CRO,MF,Lazio,it Serie A,28,1996,19.3,,,,,,,,,,,,,,,,,,,,,Matches
239,Calvin Bassey,ng NGA,DF,Fulham,eng Premier League,25,1999,28.2,,,,,,,,,,,,,,,,,,,,,Matches
240,Alessandro Bastoni,it ITA,DF,Inter,it Serie A,26,1999,24.9,,,,,,,,,,,,,,,,,,,,,Matches
241,Augusto Batalla,ar ARG,GK,Rayo Vallecano,es La Liga,29,1996,34.0,,,,,,,,,,,,,,,,,,,,,Matches
242,Michy Batshuayi,be BEL,FW,Frankfurt,de Bundesliga,31,1993,1.5,,,,,,,,,,,,,,,,,,,,,Matches
243,Martin Baturina,hr CRO,"MF,FW",Como,it Serie A,22,2003,17.4,,,,,,,,,,,,,,,,,,,,,Matches
244,Daniel Batz,de GER,GK,Mainz 05,de Bundesliga,34,1991,21.0,,,,,,,,,,,,,,,,,,,,,Matches
245,Elias Baum,de GER,DF,Frankfurt,de Bundesliga,19,2005,0.8,,,,,,,,,,,,,,,,,,,,,Matches
246,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,35,1990,34.0,,,,,,,,,,,,,,,,,,,,,Matches
247,Christoph Baumgartner,at AUT,MF,RB Leipzig,de Bundesliga,25,1999,30.9,,,,,,,,,,,,,,,,,,,,,Matches
248,Altay Bayındır,tr TUR,GK,Manchester Utd,eng Premier League,27,1998,6.0,,,,,,,,,,,,,,,,,,,,,Matches
