Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Matches,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Matches_shooting,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches_passing,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches_defense,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Rec,Matches_possession,nombre_normalizado,xG,xA,npxG,xGChain,xGBuildup,Pos_Principal,KPI_Goles_90,KPI_npxG_90,KPI_G_menos_xG_90,KPI_Conversion_Tiros,KPI_Regates_Exitosos_Pct,KPI_Asistencias_90,KPI_xA_90,KPI_PasesClave_90,KPI_DistPaseProgresivo_90,KPI_DistConduccionProgresiva_90,KPI_PasesCompletados_Pct,KPI_AccionesDefensivas_90,KPI_DuelosGanados_Pct,KPI_Despejes_90,KPI_Bloqueos_90,KPI_Errores_90
2615,Bazoumana Touré,ci CIV,"MF,FW",Hoffenheim,de Bundesliga,19.0,2006.0,30,29,2308.0,25.6,5.0,9.0,14,5,0,0,2,0,0.19,0.35,0.55,0.19,0.55,Matches,5,48,13,27.1,1.87,0.51,0.1,0.38,0,0,Matches,,,,,,,,,,,,,,,9.0,,,,,,Matches,,22,,,,,,,,,,,6,,,,Matches,,,,,,,,,,,,,,,,,,,,,Matches,bazoumana toure,5.141797917895019,7.229519298300147,5.141797917895019,16.133680978789926,6.017529154196382,MF,0.1953125,0.20085148116777418,-0.005538981167774182,0.1,,0.3515625,0.2824030975898495,,,,,,,,,
2616,Idrissa Touré,de GER,MF,Pisa,it Serie A,27.0,1998.0,32,26,2279.0,25.3,1.0,0.0,1,1,0,0,4,1,0.04,0.0,0.04,0.04,0.04,Matches,1,29,8,27.6,1.15,0.32,0.03,0.13,0,0,Matches,,,,,,,,,,,,,,,0.0,,,,,,Matches,,28,,,,,,,,,,,25,,,,Matches,,,,,,,,,,,,,,,,,,,,,Matches,idrissa toure,2.997904310002923,3.5665722815319896,2.997904310002923,7.313524666242301,3.037940706126392,MF,0.039525691699604744,0.11849424150209181,-0.07896854980248708,0.03,,0.0,0.1409712364241893,,,,,,,,,
2620,Lucas Tousart,fr FRA,"MF,DF",Brest,fr Ligue 1,28.0,1997.0,24,9,834.0,9.3,1.0,0.0,1,1,0,0,0,0,0.11,0.0,0.11,0.11,0.11,Matches,1,9,3,33.3,0.97,0.32,0.11,0.33,0,0,Matches,,,,,,,,,,,,,,,0.0,,,,,,Matches,,12,,,,,,,,,,,9,,,,Matches,,,,,,,,,,,,,,,,,,,,,Matches,lucas tousart,0.6973812971264124,0.4796754773706198,0.6973812971264124,2.1092285737395287,1.305947981774807,MF,0.1075268817204301,0.07498723625015187,0.03253964547027823,0.11,,0.0,0.05157800831942148,,,,,,,,,
2622,Mattéo Tramoni,fr FRA,"MF,FW",Pisa,it Serie A,25.0,2000.0,27,21,1600.0,17.8,2.0,2.0,4,1,1,1,3,0,0.11,0.11,0.23,0.06,0.17,Matches,2,28,9,32.1,1.58,0.51,0.07,0.22,1,1,Matches,,,,,,,,,,,,,,,2.0,,,,,,Matches,,21,,,,,,,,,,,15,,,,Matches,,,,,,,,,,,,,,,,,,,,,Matches,matteo tramoni,3.213343242183328,2.884499185718596,2.4520444069057703,7.110495939850807,3.0286965798586607,MF,0.11235955056179775,0.13775530375875114,-0.06816535068445663,0.07,,0.11235955056179775,0.1620505160516065,,,,,,,,,
2625,Bertrand Traoré,bf BFA,"MF,FW",Sunderland,eng Premier League,29.0,1995.0,12,9,632.0,7.0,1.0,0.0,1,1,0,0,1,0,0.14,0.0,0.14,0.14,0.14,Matches,1,12,6,50.0,1.71,0.85,0.08,0.17,0,0,Matches,,,,,,,,,,,,,,,0.0,,,,,,Matches,,4,,,,,,,,,,,2,,,,Matches,,,,,,,,,,,,,,,,,,,,,Matches,bertrand traore,0.6248076185584068,0.9887753147631884,0.6248076185584068,2.016919732093811,1.230125552974641,MF,0.14285714285714285,0.08925823122262955,0.05359891163451331,0.08,,0.0,0.14125361639474118,,,,,,,,,
2626,Boubacar Traoré,ml MLI,MF,Metz,fr Ligue 1,23.0,2001.0,20,16,1387.0,15.4,1.0,0.0,1,1,0,0,4,0,0.06,0.0,0.06,0.06,0.06,Matches,1,19,3,15.8,1.23,0.19,0.05,0.33,0,0,Matches,,,,,,,,,,,,,,,0.0,,,,,,Matches,,26,,,,,,,,,,,15,,,,Matches,,,,,,,,,,,,,,,,,,,,,Matches,boubacar traore,0.9408415667712688,0.221991928294301,0.9408415667712688,2.384032738395036,1.5097705023363233,MF,0.06493506493506493,0.061093608231900576,0.0038414567031643605,0.05,,0.0,0.014415060278850714,,,,,,,,,
2627,Hamari Traoré,ml MLI,DF,Paris FC,fr Ligue 1,33.0,1992.0,18,14,1150.0,12.8,0.0,1.0,1,0,0,0,4,0,0.0,0.08,0.08,0.0,0.08,Matches,0,4,0,0.0,0.31,0.0,0.0,,0,0,Matches,,,,,,,,,,,,,,,1.0,,,,,,Matches,,22,,,,,,,,,,,18,,,,Matches,,,,,,,,,,,,,,,,,,,,,Matches,hamari traore,0.3639629986137151,0.8060098411515355,0.3639629986137151,4.230144029483199,3.7136071901768446,DF,0.0,0.02843460926669649,-0.02843460926669649,0.0,,0.078125,0.06296951883996371,,,,,,,,,
2628,Omar Traoré,de GER,"DF,MF",Heidenheim,de Bundesliga,27.0,1998.0,26,16,1501.0,16.7,0.0,2.0,2,0,0,0,2,0,0.0,0.12,0.12,0.0,0.12,Matches,0,10,2,20.0,0.6,0.12,0.0,0.0,0,0,Matches,,,,,,,,,,,,,,,2.0,,,,,,Matches,,11,,,,,,,,,,,17,,,,Matches,,,,,,,,,,,,,,,,,,,,,Matches,omar traore,0.5020455876365304,1.4571367260068655,0.5020455876365304,3.855576592497528,3.29358384013176,DF,0.0,0.030062610038115594,-0.030062610038115594,0.0,,0.11976047904191617,0.08725369616807578,,,,,,,,,
2629,Kevin Trapp,de GER,GK,Paris FC,fr Ligue 1,35.0,1990.0,22,22,1980.0,22.0,0.0,0.0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,0,0,0,,0.0,0.0,,,0,0,Matches,,,,,,,,,,,,,,,0.0,,,,,,Matches,,0,,,,,,,,,,,1,,,,Matches,,,,,,,,,,,,,,,,,,,,,Matches,kevin trapp,0.0,0.0,0.0,2.614942293614149,2.614942293614149,GK,,,,,,,,,,,,,,,,
2633,Philipp Treu,de GER,"DF,MF",Freiburg,de Bundesliga,24.0,2000.0,28,24,2186.0,24.3,1.0,2.0,3,1,0,0,2,0,0.04,0.08,0.12,0.04,0.12,Matches,1,17,5,29.4,0.7,0.21,0.06,0.2,0,0,Matches,,,,,,,,,,,,,,,2.0,,,,,,Matches,,27,,,,,,,,,,,7,,,,Matches,,,,,,,,,,,,,,,,,,,,,Matches,philipp treu,1.471756223589182,1.812682246789336,1.471756223589182,7.696102367714047,4.845858434215188,DF,0.0411522633744856,0.06056609973618032,-0.019413836361694727,0.06,,0.0823045267489712,0.07459597723412906,,,,,,,,,
